;ORIGIN;DEST;Quarter;TotalPax;TotalFare;AverageFare;Year
0;ATL;BOS;1;6543;1505136.21;230.03762953;2012
1;ATL;CLT;1;1964;322987.91;164.45412933;2012
2;ATL;DEN;1;6381;1132764.29;177.52143708;2012
3;ATL;DFW;1;9003;2238288.12;248.61580806;2012
4;ATL;DTW;1;4252;951094.42;223.6816604;2012
5;ATL;EWR;1;5205;1375015.91;264.17212488;2012
6;ATL;IAH;1;3287;749147.94;227.91236386;2012
7;ATL;JFK;1;1556;337795.3;217.09209512;2012
8;ATL;LAS;1;6430;1540720.79;239.61443079;2012
9;ATL;LAX;1;7840;1974070.85;251.79475128;2012
10;ATL;LGA;1;13760;2916000.59;211.91864753;2012
11;ATL;MCO;1;7131;1297168.14;181.90550273;2012
12;ATL;MIA;1;4942;831376.91;168.22681303;2012
13;ATL;MSP;1;4276;1074438.55;251.27187792;2012
14;ATL;ORD;1;7316;1381274.69;188.80189858;2012
15;ATL;PHL;1;7289;1508999.43;207.02420497;2012
16;ATL;PHX;1;4301;941966.23;219.01098117;2012
17;ATL;SEA;1;2867;891421.88;310.92496686;2012
18;ATL;SFO;1;5095;1466569.21;287.84479097;2012
19;BOS;ATL;1;6376;1486428.61;233.12870295;2012
20;BOS;CLT;1;3872;557218.44;143.90972107;2012
21;BOS;DEN;1;5124;1026710.88;200.3729274;2012
22;BOS;DFW;1;3736;1469068.25;393.219553;2012
23;BOS;DTW;1;2322;643342.22;277.0638329;2012
24;BOS;EWR;1;3922;638888.99;162.89877358;2012
25;BOS;IAH;1;2033;730873.71;359.50502213;2012
26;BOS;JFK;1;3899;491378.07;126.02669146;2012
27;BOS;LAS;1;4173;1031703.03;247.23293314;2012
28;BOS;LAX;1;9030;2345699.06;259.76733776;2012
29;BOS;LGA;1;7213;1696476.03;235.19700957;2012
30;BOS;MCO;1;11518;2106373.57;182.87667737;2012
31;BOS;MIA;1;4257;945207.16;222.03597839;2012
32;BOS;MSP;1;2983;867873.84;290.93993966;2012
33;BOS;ORD;1;9397;1396808.16;148.64405236;2012
34;BOS;PHL;1;6595;1175084.2;178.17804397;2012
35;BOS;PHX;1;4261;897084.9;210.53388876;2012
36;BOS;SEA;1;2873;709439.27;246.93326488;2012
37;BOS;SFO;1;10101;2866674.78;283.80108702;2012
38;CLT;ATL;1;2045;336123.72;164.36367726;2012
39;CLT;BOS;1;3906;574449.63;147.06851767;2012
40;CLT;DEN;1;1592;446489.36;280.4581407;2012
41;CLT;DFW;1;2737;837649.63;306.04663135;2012
42;CLT;DTW;1;1511;406916.38;269.3027002;2012
43;CLT;EWR;1;2057;540896.1;262.95386485;2012
44;CLT;IAH;1;1316;473141.09;359.52970365;2012
45;CLT;JFK;1;2329;324252.8;139.22404465;2012
46;CLT;LAS;1;2398;641406.16;267.47546289;2012
47;CLT;LAX;1;2000;664292.0;332.146;2012
48;CLT;LGA;1;6080;1059678.98;174.28930592;2012
49;CLT;MCO;1;3723;559508.04;150.28419017;2012
50;CLT;MIA;1;1446;340631.34;235.5680083;2012
51;CLT;MSP;1;1329;438784.26;330.16121896;2012
52;CLT;ORD;1;2989;830049.98;277.70156574;2012
53;CLT;PHL;1;2531;663884.29;262.30118135;2012
54;CLT;PHX;1;1607;509314.61;316.93504045;2012
55;CLT;SEA;1;930;282568.9;303.83752688;2012
56;CLT;SFO;1;2015;697184.98;345.99750868;2012
57;DEN;ATL;1;6488;1149105.85;177.11249229;2012
58;DEN;BOS;1;5116;1027228.93;200.78751564;2012
59;DEN;CLT;1;1603;442903.41;276.29657517;2012
60;DEN;DFW;1;7286;1404315.65;192.74164837;2012
61;DEN;DTW;1;3448;641925.93;186.17341357;2012
62;DEN;EWR;1;3839;913919.11;238.06176348;2012
63;DEN;IAH;1;4120;933053.77;226.46936165;2012
64;DEN;JFK;1;1593;293103.23;183.99449466;2012
65;DEN;LAS;1;10710;1436010.81;134.08130812;2012
66;DEN;LAX;1;10492;1573281.39;149.95057091;2012
67;DEN;LGA;1;5877;1274010.03;216.77897397;2012
68;DEN;MCO;1;5884;1294380.85;219.98314922;2012
69;DEN;MIA;1;1705;422635.3;247.87994135;2012
70;DEN;MSP;1;6712;939375.66;139.95465733;2012
71;DEN;ORD;1;5396;1042313.65;193.16413084;2012
72;DEN;PHL;1;3998;869467.06;217.47550275;2012
73;DEN;PHX;1;13756;1888038.18;137.25197587;2012
74;DEN;SEA;1;5953;942026.85;158.24405342;2012
75;DEN;SFO;1;7691;1351677.44;175.74794435;2012
76;DFW;ATL;1;8890;2204381.85;247.96196288;2012
77;DFW;BOS;1;3845;1532917.82;398.67823667;2012
78;DFW;CLT;1;2709;846900.84;312.6248948;2012
