;AverageFare;Ref
0;0;0 0 1 2011
1;0;0 0 2 2011
2;0;0 0 3 2011
3;0;0 0 4 2011
4;0;0 0 1 2012
5;0;0 0 2 2012
6;0;0 0 3 2012
7;0;0 0 4 2012
8;0;0 0 1 2013
9;0;0 0 2 2013
10;0;0 0 3 2013
11;0;0 0 4 2013
12;189;0 1 1 2011
13;189;0 1 2 2011
14;189;0 1 3 2011
15;189;0 1 4 2011
16;172;0 1 1 2012
17;172;0 1 2 2012
18;172;0 1 3 2012
19;172;0 1 4 2012
20;172;0 1 1 2013
21;172;0 1 2 2013
22;189;0 1 3 2013
23;189;0 1 4 2013
24;260;0 2 1 2011
25;260;0 2 2 2011
26;260;0 2 3 2011
27;260;0 2 4 2011
28;172;0 2 1 2012
29;172;0 2 2 2012
30;172;0 2 3 2012
31;172;0 2 4 2012
32;172;0 2 1 2013
33;172;0 2 2 2013
34;260;0 2 3 2013
35;260;0 2 4 2013
36;230;0 3 1 2011
37;230;0 3 2 2011
38;230;0 3 3 2011
39;230;0 3 4 2011
40;172;0 3 1 2012
41;172;0 3 2 2012
42;172;0 3 3 2012
43;172;0 3 4 2012
44;172;0 3 1 2013
45;172;0 3 2 2013
46;230;0 3 3 2013
47;230;0 3 4 2013
48;172;0 4 1 2011
49;172;0 4 2 2011
50;172;0 4 3 2011
51;172;0 4 4 2011
52;172;0 4 1 2012
53;172;0 4 2 2012
54;172;0 4 3 2012
55;172;0 4 4 2012
56;172;0 4 1 2013
57;172;0 4 2 2013
58;172;0 4 3 2013
59;172;0 4 4 2013
60;194;0 5 1 2011
61;194;0 5 2 2011
62;194;0 5 3 2011
63;194;0 5 4 2011
64;172;0 5 1 2012
65;172;0 5 2 2012
66;172;0 5 3 2012
67;172;0 5 4 2012
68;172;0 5 1 2013
69;172;0 5 2 2013
70;194;0 5 3 2013
71;194;0 5 4 2013
72;289;0 6 1 2011
73;289;0 6 2 2011
74;289;0 6 3 2011
75;289;0 6 4 2011
76;172;0 6 1 2012
77;172;0 6 2 2012
78;172;0 6 3 2012
79;172;0 6 4 2012
80;172;0 6 1 2013
81;172;0 6 2 2013
82;289;0 6 3 2013
83;289;0 6 4 2013
84;147;0 7 1 2011
85;147;0 7 2 2011
86;147;0 7 3 2011
87;147;0 7 4 2011
88;172;0 7 1 2012
89;172;0 7 2 2012
90;172;0 7 3 2012
91;172;0 7 4 2012
92;172;0 7 1 2013
93;172;0 7 2 2013
94;147;0 7 3 2013
