DateOfDeparture;Price
2011-09-01;101,76
2011-09-02;100,56
2011-09-03;100,56
2011-09-04;100,56
2011-09-05;100,56
2011-09-06;100,71
2011-09-07;102,22
2011-09-08;103,31
2011-09-09;100,88
2011-09-10;100,88
2011-09-11;100,88
2011-09-12;98,82
2011-09-13;100,71
2011-09-14;96,11
2011-09-15;96,15
2011-09-16;94,23
2011-09-17;94,23
2011-09-18;94,23
2011-09-19;94,46
2011-09-20;94,96
2011-09-21;92,78
2011-09-22;92,24
2011-09-23;94,57
2011-09-24;94,57
2011-09-25;94,57
2011-09-26;96,36
2011-09-27;97,04
2011-09-28;96,61
2011-09-29;98,37
2011-09-30;98,02
2011-10-01;98,02
2011-10-02;98,02
2011-10-03;100,07
2011-10-04;97,72
2011-10-05;96,64
2011-10-06;98,74
2011-10-07;99,36
2011-10-08;99,36
2011-10-09;99,36
2011-10-10;97,06
2011-10-11;98,46
2011-10-12;97,12
2011-10-13;98,68
2011-10-14;99,22
2011-10-15;99,22
2011-10-16;99,22
2011-10-17;99,85
2011-10-18;100,58
2011-10-19;100,05
2011-10-20;100,46
2011-10-21;100,88
2011-10-22;100,88
2011-10-23;100,88
2011-10-24;98,82
2011-10-25;98,82
2011-10-26;97,08
2011-10-27;96,27
2011-10-28;95,08
2011-10-29;95,08
2011-10-30;95,08
2011-10-31;93,24
2011-11-01;87,96
2011-11-02;88,29
2011-11-03;82,7
2011-11-04;80,61
2011-11-05;80,61
2011-11-06;80,61
2011-11-07;84,14
2011-11-08;86,82
2011-11-09;86,44
2011-11-10;88,85
2011-11-11;87,56
2011-11-12;87,56
2011-11-13;87,56
2011-11-14;88,42
2011-11-15;83,19
2011-11-16;83,17
2011-11-17;85,03
2011-11-18;86,11
2011-11-19;86,11
2011-11-20;86,11
2011-11-21;86,37
2011-11-22;86,44
2011-11-23;86,45
2011-11-24;86,45
2011-11-25;88,21
2011-11-26;88,21
2011-11-27;88,21
2011-11-28;89,81
2011-11-29;89,88
2011-11-30;89,94
2011-12-01;87,46
2011-12-02;87,05
2011-12-03;87,05
2011-12-04;87,05
2011-12-05;90,14
2011-12-06;89,7
2011-12-07;87,93
2011-12-08;88,64
2011-12-09;90,52
2011-12-10;90,52
2011-12-11;90,52
2011-12-12;89,36
